,z,snr,fwhm,photon count
0,-2730,1.0651720183110096,56.707855870727855,low
1,-2720,1.0600549840835547,80.38571504375363,low
2,-2710,1.0610706185550058,109.60874317580044,low
3,-2700,1.0502871737806614,420.23631849451573,low
4,-2690,1.056074643710139,105.27425470988824,low
5,-2680,1.0558048371184434,96.26879644893522,low
6,-2670,1.0565104643124383,125.00589401455258,low
7,-2660,1.056307937387905,326.9020554654597,low
8,-2650,1.0598448357548957,111.52739310819123,low
9,-2640,1.0513198944479767,480.1656015211338,low
10,-2630,1.0580187982874858,65.0753676762254,low
11,-2620,1.0643337182106167,,low
12,-2610,1.0555024825041521,72.33067863776299,low
13,-2600,1.061075385220548,97.78833588556299,low
14,-2590,1.0549313974018801,436.4364989385736,low
15,-2580,1.0420451978510887,84.02830348104911,low
16,-2570,1.0568314135161272,175.9213952218714,low
17,-2560,1.0579879402947174,79.25835892973258,low
18,-2550,1.0575801852821252,1899.1303991643517,low
19,-2540,1.0518446351968789,220.27285029356358,low
20,-2530,1.052677306824739,226.1935404792588,low
21,-2520,1.0488807985700923,89.9205259615375,low
22,-2510,1.0507823474687537,606.1117986257715,low
23,-2500,1.0515952520150034,262.93772617251636,low
24,-2490,1.055532519876023,712.2812719033976,low
25,-2480,1.061866325425731,106.22744425707337,low
26,-2470,1.0504367177729856,63.75579610193249,low
27,-2460,1.058874517623831,195.39489458482313,low
28,-2450,1.0651621533820375,473.95482671941465,low
29,-2440,1.0745482313517685,327.34152577062525,low
30,-2430,1.0620726279310402,319.4846552545869,low
31,-2420,1.0685789336356242,254.08232533433852,low
32,-2410,1.0513846143746943,193.09782385739277,low
33,-2400,1.0430046923742364,282.8165099067006,low
34,-2390,1.0763221153846154,1724.1719437303648,low
35,-2380,1.0633656350669545,194.07442861413705,low
36,-2370,1.0605135008720816,125.90086970260872,low
37,-2360,1.0584917629039803,185.4059279841311,low
38,-2350,1.0535184311229355,1874.2134864228203,low
39,-2340,1.0596296251923703,321.76340201657035,low
40,-2330,1.050475665467724,291.3474957450716,low
41,-2320,1.0528817782440496,124.38691559082578,low
42,-2310,1.0457328134493746,242.6487548276179,low
43,-2300,1.0557226578296768,147.97631709944272,low
44,-2290,1.048833701507915,134.59973727202618,low
45,-2280,1.056221146662051,109.45270746373869,low
46,-2270,1.0658182606581825,291.18445735918596,low
47,-2260,1.04953107805511,70.28424113133003,low
48,-2250,1.0557782147532546,3089.5903839407756,low
49,-2240,1.0588983273606645,101.31328475866337,low
50,-2230,1.0606511253579791,211.519475505171,low
51,-2220,1.0534371874751207,428.2481836679611,low
52,-2210,1.0662178861717553,597.5403078271845,low
53,-2200,1.0532600320237828,58.85296618519063,low
54,-2190,1.0583317395699572,480.9784424969962,low
55,-2180,1.0554245283018868,248.0905304613517,low
56,-2170,1.064572796922332,185.10221684372527,low
57,-2160,1.0504828336731415,63.282082176205776,low
58,-2150,1.0531536469365383,2183.134863210551,low
59,-2140,1.0876813622171886,66.21823820436563,low
60,-2130,1.056183216125469,1324.7589965148948,low
61,-2120,1.058857119103513,71.93026996654396,low
62,-2110,1.0461866950044771,216.62783196672675,low
63,-2100,1.048932725281708,1947.4349167101582,low
64,-2090,1.0562585096355257,342.52617544222164,low
65,-2080,1.0589674473750577,548.7942125435512,low
66,-2070,1.072528258082287,62.3169857898548,low
67,-2060,1.0636493901907071,50.54996527595016,low
68,-2050,1.0696061648518127,806.711612508471,low
69,-2040,1.0523634338981245,403.7407899477307,low
70,-2030,1.069872985064339,66.7464590763638,low
71,-2020,1.0748716071095827,61.15171144567212,low
72,-2010,1.0482938904279584,168.4971464475627,low
73,-2000,1.0619088892993729,161.67949533694645,low
74,-1990,1.0547167293142605,211.6806699227464,low
75,-1980,1.0479010783571145,339.16546740451696,low
76,-1970,1.0508233001964675,64.87420814884399,low
77,-1960,1.0575071712051554,65.04764366362228,low
78,-1950,1.0594853374675197,149.02889842545358,low
79,-1940,1.051556933524297,146.67956819682607,low
80,-1930,1.0506747617717895,71.7892349429667,low
81,-1920,1.0508760166685596,61.99594810858383,low
82,-1910,1.0493962198109905,69.42174985563203,low
83,-1900,1.0683604090008183,76.92822535287746,low
84,-1890,1.0595117227330177,688.9052370854423,low
85,-1880,1.0442821086551841,2872.7268667846647,low
86,-1870,1.0510945322469814,118.41774415662488,low
87,-1860,1.048318404357305,105.3158316706872,low
88,-1850,1.0512358969186988,139.69113326449582,low
89,-1840,1.062325966983763,63.89967593801683,low
90,-1830,1.053191175812408,618.3740869207998,low
91,-1820,1.054525456718009,483.1738400038683,low
92,-1810,1.0576648727358593,745.213957606015,low
93,-1800,1.0583397861266577,104.27704088257313,low
94,-1790,1.0555240236634722,53.43162522256605,low
95,-1780,1.0517593898427742,429.80271842130526,low
96,-1770,1.054906557327047,149.03648951435437,low
97,-1760,1.0535914136917572,62.61564391436151,low
98,-1750,1.0660924993946375,1243.4401364091557,low
99,-1740,1.060955335272379,73.35810468657837,low
100,-1730,1.062309731906118,1067.1410561064488,low
101,-1720,1.054177584872796,146.45120844194298,low
102,-1710,1.0603248436868222,134.56970295578657,low
103,-1700,1.0623085893649253,340.54108435466867,low
104,-1690,1.070129490629484,90.88633551121295,low
105,-1680,1.0640445720530005,1882.8187809494816,low
106,-1670,1.0623077298696224,202.38608383630955,low
107,-1660,1.06831679937345,409.96173490854943,low
108,-1650,1.0539059630884369,78.12572818314017,low
109,-1640,1.046411253273867,265.6626346165943,low
110,-1630,1.0576545632973504,164.42532736469775,low
111,-1620,1.069823439364142,257.8052914782181,low
112,-1610,1.0585093151438185,1083.3881092654688,low
113,-1600,1.0484068973609078,315.1833733619745,low
114,-1590,1.0536009663518042,272.8422281427043,low
115,-1580,1.0550430748695996,76.87069199454533,low
116,-1570,1.0709706675888437,173.8246279339407,low
117,-1560,1.070173796442223,119.46307207894422,low
118,-1550,1.0527317516164292,159.67458818927122,low
119,-1540,1.0527010329066544,1104.569587724239,low
120,-1530,1.056162994778324,3414.7560125380705,low
121,-1520,1.0527614459721355,521.9640878527807,low
122,-1510,1.062612949546018,70.26014834314996,low
123,-1500,1.0575035078404458,242.89890589911946,low
124,-1490,1.0530364095759974,60.41518702660398,low
125,-1480,1.0567151546061733,360.953230727169,low
126,-1470,1.0561356451767412,73.41529594027689,low
127,-1460,1.0461711162086973,930.7020434841978,low
128,-1450,1.0686549649034192,147.40334907094,low
129,-1440,1.0624192097402485,66.78690794074076,low
130,-1430,1.054924285700296,154.30738220830017,low
131,-1420,1.053629932438248,141.9056803701539,low
132,-1410,1.0606108319180636,154.23839652839231,low
133,-1400,1.0735509683392246,557.6055702449908,low
134,-1390,1.0626353203701266,280.15266005013916,low
135,-1380,1.0658109548062917,829.0595125520138,low
136,-1370,1.0750928397827304,189.78162266524672,low
137,-1360,1.052556406248812,85.86814703474232,low
138,-1350,1.086301281918754,61.764004777727635,low
139,-1340,1.0584462563222592,1215.511655698543,low
140,-1330,1.0621736126303114,76.08946564265246,low
141,-1320,1.0574876222822838,800.4656016501503,low
142,-1310,1.0470897923369407,240.01761695360503,low
143,-1300,1.053487818427109,69.49190203026339,low
144,-1290,1.0662804759539595,170.50505429707124,low
145,-1280,1.0535870972907295,208.37832172364452,low
146,-1270,1.0512233036174996,68.5038333977767,low
147,-1260,1.0474569205113953,95.3616515417225,low
148,-1250,1.0622828129528972,1926.8346965213086,low
149,-1240,1.040542323607473,171.85466779378527,low
150,-1230,1.0605255596337237,141.95978059200053,low
151,-1220,1.0530078975592316,391.21591634686973,low
152,-1210,1.0637498892349322,98.35059203362984,low
153,-1200,1.0574704569646998,64.18344213827973,low
154,-1190,1.0573002445610529,80.42458690630232,low
155,-1180,1.0570641160735998,144.7191596390771,low
156,-1170,1.057409646168855,348.11882903168043,low
157,-1160,1.0572580697513887,456.3356678435945,low
158,-1150,1.0504819677130839,2466.9799161143346,low
159,-1140,1.0560185004488507,137.83712217393438,low
160,-1130,1.0561009454463839,1017.1860603578357,low
161,-1120,1.0773253149562045,903.5124962462869,low
162,-1110,1.0551975355394698,777.9584567520665,low
163,-1100,1.0490101622690136,71.92787139727226,low
164,-1090,1.0547099655903311,611.5612151692593,low
165,-1080,1.0573953560847236,70.38008135325637,low
166,-1070,1.0481982874232443,328.03217784650695,low
167,-1060,1.0774566486465484,110.15876139156119,low
168,-1050,1.0477324648811548,158.402496698684,low
169,-1040,1.0623015149937525,274.9632606509215,low
170,-1030,1.0449048311023925,563.029463649739,low
171,-1020,1.0578831633844477,66.25181278191769,low
172,-1010,1.0445310298590125,3.8767799478223552,low
173,-1000,1.059260196139477,378.181569595846,low
174,-990,1.0624475499551238,54.43175970084829,low
175,-980,1.0641638387858918,2125.7917303218755,low
176,-970,1.0513267786148521,196.875102139054,low
177,-960,1.0583014902353833,56.347742001801514,low
178,-950,1.0576314603235146,65.02941324241552,low
179,-940,1.0766454606255835,64.17119056992212,low
180,-930,1.0504290450497302,458.53511178870804,low
181,-920,1.0551319667171937,226.78666320437782,low
182,-910,1.0592050191150961,2521.1539690120435,low
183,-900,1.0602434958191471,850.6266724791064,low
184,-890,1.0570876969703507,74.26012286883986,low
185,-880,1.0452589347296024,155.3286721401991,low
186,-870,1.0605497128623815,218.19494033209054,low
187,-860,1.0560950801404563,421.2447342286691,low
188,-850,1.046624601251167,67.64021564480035,low
189,-840,1.078284838014636,680.4992577001645,low
190,-830,1.0568624826770396,209.87808813812742,low
191,-820,1.049685887610371,433.48315680710056,low
192,-810,1.0662171572940904,1920.4545250329897,low
193,-800,1.0606036191366282,370.5064777434956,low
194,-790,1.0529376823889982,478.8492367182424,low
195,-780,1.063876055902422,466.01663242953236,low
196,-770,1.052551890762415,3145.2526430814796,low
197,-760,1.0532735064128014,389.4825273536396,low
198,-750,1.0616491899614524,594.8225743012516,low
199,-740,1.0739637135580047,410.56966036342465,low
200,-730,1.04934119032064,3053.7870162901672,low
201,-720,1.0608573113627124,198.61697341064098,low
202,-710,1.04865341896617,1410.4713625223026,low
203,-700,1.063465399667262,141.7389853232344,low
204,-690,1.0676683342057165,547.4952667413502,low
205,-680,1.0713076836285682,235.33991490052844,low
206,-670,1.060625836662003,1556.0675239016455,low
207,-660,1.0624749168209415,1106.359081765755,low
208,-650,1.061043905968382,1533.3863450123426,low
209,-640,1.070187723881602,1100.6687481978686,low
210,-630,1.06621417035109,297.3639682159394,low
211,-620,1.1158411775548018,1039.724603472213,low
212,-610,1.0581281424618598,1457.1631910236347,low
213,-600,1.0781337183612518,1473.8947162540587,low
214,-590,1.0712632316171036,2085.561212474495,low
215,-580,1.0711089235382245,1794.1271013812275,low
216,-570,1.069245446211358,908.4219895568556,low
217,-560,1.0630316768306427,1039.8446552002981,low
218,-550,1.0760486273766878,866.8942870198634,low
219,-540,1.0748353724999515,1155.593654601701,low
220,-530,1.0730238881336183,1108.892084491728,low
221,-520,1.055287439889714,1712.7433611021559,low
222,-510,1.0676616294165646,850.3521184737019,low
223,-500,1.0620445859941239,1325.8185184373785,low
224,-490,1.064637778968465,1146.781620340856,low
225,-480,1.1000475254508466,866.1353763909676,low
226,-470,1.083400702647614,672.1312426670939,low
227,-460,1.081744715230536,826.6058805082737,low
228,-450,1.0724180912830912,658.348799769787,low
229,-440,1.0637147284819526,809.2093322915939,low
230,-430,1.1071218705807142,708.2257055089378,low
231,-420,1.0901787503204665,815.4339196590531,low
232,-410,1.0669601858354492,841.3477805754001,low
233,-400,1.0956989594778002,739.3088878317047,low
234,-390,1.091186047261356,753.6504620444275,low
235,-380,1.09572204463531,788.9107990077703,low
236,-370,1.0985971375024597,736.7657729592734,low
237,-360,1.0979382109756648,664.671702610583,low
238,-350,1.1109785510685772,714.0342075037559,low
